"ID","VENIT","MEDIU","REG","VARSTA","NIVI","STAO","SEX","CODJ","CAEN"
101,0,1,7,68,7,7,2,1,NA
107,0,1,7,74,4,7,1,1,NA
113,0,3,7,70,4,7,2,1,NA
119,0,1,5,83,4,7,2,2,NA
125,0,3,5,51,7,1,1,2,16
131,NA,3,5,51,5,8,1,2,NA
137,16778.63,1,1,45,7,1,1,4,49
143,0,1,1,83,3,4,2,4,1
149,0,3,1,19,7,10,1,4,NA
155,0,3,1,33,4,4,2,4,1
161,0,3,1,39,4,4,2,4,1
167,12130.36,1,6,32,5,1,1,5,64
167,11091,1,6,32,5,1,1,5,64
179,0,3,6,58,5,7,2,5,NA
185,8974.79,3,6,36,7,1,1,5,15
190,0,3,6,61,5,8,1,5,NA
196,0,1,6,73,9,7,1,6,NA
202,0,3,1,77,3,3,1,7,1
208,0,1,7,68,7,7,1,8,NA
214,31441.85,1,7,47,5,1,1,8,25
220,8658.54,1,7,52,5,1,2,8,47
226,0,3,7,17,4,10,1,8,NA
232,0,1,2,28,3,4,1,10,41
238,15444.6,3,2,37,5,1,1,10,1
244,11994.24,3,2,52,7,1,1,10,80
250,0,1,5,54,4,12,2,11,NA
256,8974.79,1,5,50,5,1,2,11,16
262,0,3,5,63,8,7,2,11,NA
268,0,3,5,71,4,7,1,11,NA
274,9346.81,1,6,30,5,1,2,12,75
280,20352.64,1,5,49,7,1,2,20,64
286,NA,1,5,28,7,12,2,20,NA
292,16496.81,1,5,37,5,1,1,20,33
298,0,3,5,75,12,7,1,20,NA
304,0,1,3,63,12,7,2,21,NA
310,21842.88,1,3,42,9,1,1,21,1
316,0,3,3,28,4,4,2,21,97
322,0,1,4,19,7,10,2,25,NA
328,0,3,4,51,5,12,2,25,NA
334,0,3,4,22,7,12,2,25,NA
340,0,1,1,55,12,7,1,27,NA
346,0,3,1,23,9,10,2,27,NA
352,0,3,1,28,1,3,1,27,1
358,0,1,3,67,12,7,2,29,NA
364,0,1,3,64,5,7,2,29,NA
369,0,1,3,73,4,7,2,29,NA
375,0,3,3,22,7,9,1,29,NA
381,0,3,3,59,4,12,2,29,NA
387,13554.3,1,1,32,9,1,2,37,85
393,0,3,1,76,3,7,2,37,NA
399,0,3,1,60,4,7,1,37,NA
405,NA,1,2,30,12,6,2,39,NA
411,0,3,2,71,3,7,2,39,NA
417,0,3,2,17,3,12,2,39,NA
423,11145.64,1,3,53,5,1,1,3,47
423,1254,1,3,53,5,1,1,3,47
435,0,3,3,21,7,4,2,3,1
441,0,1,1,57,6,8,2,7,NA
447,23553.09,1,1,57,12,1,1,7,85
453,0,3,1,17,3,11,1,7,NA
459,0,3,1,26,4,3,1,7,1
465,20352.64,1,2,39,8,1,2,9,86
471,0,3,2,86,3,7,2,9,NA
477,0,3,2,38,4,9,1,9,NA
483,0,1,6,78,4,7,1,12,NA
489,10041.9,3,6,23,4,1,1,12,45
495,0,1,2,67,5,7,1,13,NA
501,10615.66,1,2,40,7,1,2,13,10
507,5819.44,1,2,44,7,1,2,13,22
513,0,3,2,77,3,7,2,13,NA
519,-1230,1,7,29,3,9,1,14,NA
525,0,3,7,53,5,8,1,14,NA
531,10994.72,1,3,36,5,1,2,15,47
537,14944.27,1,3,43,7,1,2,15,96
543,0,3,3,40,5,3,1,15,41
548,0,3,3,78,1,7,2,15,NA
554,18056.28,3,3,42,7,1,1,15,2
560,0,1,4,63,8,7,2,16,NA
566,18159.46,1,4,39,7,1,1,16,49
572,0,3,4,37,4,3,1,16,1
578,0,3,4,69,4,7,1,16,NA
584,0,3,4,71,3,7,2,16,NA
590,0,1,2,52,3,9,1,17,NA
596,0,1,2,26,4,8,2,17,NA
602,0,3,2,19,4,4,1,17,1
608,0,3,2,85,3,7,2,17,NA
614,12382.7,1,4,46,7,1,1,18,28
620,7965.1,3,4,41,5,1,1,18,5
626,0,3,4,35,4,9,1,18,NA
632,15538.27,1,7,28,12,1,1,19,84
638,0,3,7,63,4,8,2,19,NA
644,0,3,7,78,3,7,1,19,NA
650,16740.9,1,1,56,12,1,2,22,29
650,2345,1,1,56,12,1,2,22,29
662,18270.45,3,1,36,7,1,1,22,56
668,21783.19,1,8,34,12,1,2,23,46
674,21451.1,3,8,41,7,1,2,23,1
680,0,3,8,79,3,7,2,23,NA
686,0,1,6,54,4,8,2,24,NA
692,0,3,6,48,4,12,2,24,NA
698,0,1,7,86,3,7,2,26,NA
704,24198.9,1,7,56,7,1,1,26,47
710,24528.9,3,7,30,5,1,1,26,49
716,0,3,7,20,7,10,1,26,NA
722,0,3,7,62,4,7,2,26,NA
727,0,1,4,58,7,7,2,28,NA
733,0,3,4,43,4,3,1,28,1
739,0,3,4,86,3,7,2,28,NA
745,0,3,4,77,3,7,2,28,NA
751,13233.12,1,6,48,6,1,1,30,25
757,16950.84,3,6,47,5,1,1,30,31
763,16950.84,3,6,24,4,1,1,30,41
769,0,1,6,70,4,7,2,31,NA
775,0,3,6,63,4,7,1,31,NA
781,29990.28,1,7,43,12,1,1,32,27
787,NA,1,7,38,4,3,1,32,1
793,17999.4,3,7,54,4,1,1,32,42
799,0,1,1,71,9,7,1,33,NA
805,0,1,1,82,4,7,1,33,NA
811,0,3,1,19,7,10,1,33,NA
817,0,3,1,31,4,3,2,33,1
823,0,3,1,21,4,3,2,33,1
829,0,3,1,42,7,12,2,33,NA
835,0,1,3,55,1,8,2,34,NA
841,0,3,3,92,3,7,1,34,NA
847,0,3,3,78,3,7,2,34,NA
853,11953.37,1,5,33,7,1,2,35,15
859,19780.09,1,5,32,9,1,1,35,85
865,0,1,5,63,12,7,1,35,NA
871,0,3,5,88,3,7,1,35,NA
877,30893.16,1,2,60,7,1,1,36,24
883,-1587,3,2,63,4,7,2,36,NA
889,31399.72,1,4,57,7,1,1,38,6
895,0,3,4,45,7,12,2,38,NA
901,44005.28,1,8,43,10,1,2,41,61
906,15523.64,1,8,53,7,1,2,41,86
912,0,1,8,55,5,9,1,42,NA
918,0,1,8,64,8,7,1,43,NA
924,14528.91,1,8,30,7,1,2,43,14
930,22314.27,1,8,55,12,1,2,44,41
936,0,1,8,75,5,7,1,45,NA
942,19756,1,8,42,4,1,1,46,49
942,5478,8,42,4,1,1,46,49
954,19690,1,3,60,12,1,1,51,94
960,9691.31,3,3,26,7,1,1,51,20
966,15405.72,3,3,39,7,1,1,51,49
972,30974.88,1,3,33,7,1,2,52,55
978,NA,3,3,34,7,12,2,52,NA
984,9524.04,3,3,55,5,1,2,52,1
990,25373.81,1,6,60,12,1,1,12,41
